fecha,elap,co2,temp,humedad
2021-06-01 20:04:33.398159,404.61587405204773,619,18,43
2021-06-01 20:04:35.479028,406.6967463493347,619,18,43
2021-06-01 20:04:37.555778,408.7734968662262,619,18,43
2021-06-01 20:04:39.636831,410.8545444011688,619,18,43
2021-06-01 20:04:42.217537,413.43525290489197,619,18,43
2021-06-01 20:04:44.294316,415.51203513145447,619,18,43
2021-06-01 20:04:46.375309,417.5930263996124,619,18,43
2021-06-01 20:04:48.452049,419.6697678565979,619,18,43
2021-06-01 20:04:50.532978,421.750696182251,619,18,43
2021-06-01 20:04:52.613904,423.83162093162537,619,18,43
2021-06-01 20:04:54.690833,425.90855145454407,619,18,43
2021-06-01 20:04:57.275564,428.4932816028595,619,18,43
2021-06-01 20:04:59.356494,430.5742130279541,619,18,43
2021-06-01 20:05:01.433362,432.6510798931122,619,18,43
2021-06-01 20:05:03.514265,434.73198342323303,619,18,43
2021-06-01 20:05:05.591216,436.8089323043823,619,18,43
2021-06-01 20:05:07.672060,438.8897786140442,619,18,43
2021-06-01 20:05:10.252816,441.47053265571594,620,18,43
2021-06-01 20:05:12.329657,443.5473735332489,620,18,43
2021-06-01 20:05:14.410556,445.6282730102539,620,18,43
2021-06-01 20:05:16.491477,447.70919585227966,620,18,43
2021-06-01 20:05:18.568367,449.786084651947,620,18,43
2021-06-01 20:05:20.649390,451.86710691452026,620,18,43
2021-06-01 20:05:23.229915,454.44763374328613,620,18,43
2021-06-01 20:05:25.307013,456.52472853660583,620,18,43
2021-06-01 20:05:27.387818,458.6055347919464,620,18,43
2021-06-01 20:05:29.464733,460.6824495792389,620,18,43
2021-06-01 20:05:31.545541,462.76325964927673,620,18,43
2021-06-01 20:05:33.626640,464.844354391098,620,18,43
2021-06-01 20:05:35.703423,466.92113971710205,620,18,43
2021-06-01 20:05:38.284132,469.5018479824066,620,18,43
2021-06-01 20:05:40.365145,471.5828597545624,620,18,43
2021-06-01 20:05:42.441853,473.6595711708069,620,18,43
2021-06-01 20:05:44.522878,475.74059295654297,620,18,43
2021-06-01 20:05:46.603670,477.82138895988464,621,18,43
2021-06-01 20:05:48.680687,479.89840149879456,620,18,43
2021-06-01 20:05:51.261201,482.47891879081726,620,18,43
2021-06-01 20:05:53.342221,484.55993700027466,620,18,43
2021-06-01 20:05:55.419248,486.6369631290436,621,18,43
2021-06-01 20:05:57.500233,488.7179477214813,621,18,43
2021-06-01 20:05:59.580875,490.7985928058624,621,18,43
2021-06-01 20:06:01.657862,492.87557768821716,621,18,43
2021-06-01 20:06:04.238446,495.4561629295349,621,18,43
2021-06-01 20:06:06.319272,497.53699016571045,621,18,43
2021-06-01 20:06:08.396432,499.61414790153503,621,18,43
2021-06-01 20:06:10.477108,501.69482684135437,622,18,43
2021-06-01 20:06:12.554162,503.7718780040741,622,18,43
2021-06-01 20:06:14.635102,505.8528175354004,622,18,43
2021-06-01 20:06:16.715862,507.9335799217224,622,18,43
2021-06-01 20:06:19.296586,510.51430439949036,622,18,43
2021-06-01 20:06:21.373545,512.5912606716156,623,18,43
2021-06-01 20:06:23.454291,514.6720087528229,623,18,43
2021-06-01 20:06:25.531341,516.7490565776825,623,18,43
2021-06-01 20:06:27.612073,518.8297920227051,623,18,43
2021-06-01 20:06:29.692969,520.9106872081757,623,18,43
2021-06-01 20:06:32.273716,523.4914352893829,623,18,43
2021-06-01 20:06:34.350606,525.5683054924011,624,18,43
2021-06-01 20:06:36.431629,527.6493458747864,624,18,43
2021-06-01 20:06:38.508379,529.7260963916779,624,18,43
2021-06-01 20:06:40.589339,531.8070576190948,624,18,43
2021-06-01 20:06:42.670193,533.8879110813141,624,18,43
2021-06-01 20:06:45.246937,536.4646544456482,625,18,43
2021-06-01 20:06:47.327903,538.5456178188324,625,18,43
2021-06-01 20:06:49.408812,540.6265277862549,625,18,43
2021-06-01 20:06:51.485564,542.703283071518,625,18,43
2021-06-01 20:06:53.566519,544.784236907959,626,18,43
2021-06-01 20:06:55.643374,546.8610935211182,626,18,43
2021-06-01 20:06:57.724414,548.9421288967133,625,18,43
2021-06-01 20:07:00.305096,551.5228111743927,626,18,43
2021-06-01 20:07:02.386024,553.60373878479,626,18,43
2021-06-01 20:07:04.462980,555.6806938648224,626,18,43
2021-06-01 20:07:06.543860,557.7615714073181,626,18,43
2021-06-01 20:07:08.620645,559.8383605480194,626,18,43
2021-06-01 20:07:10.701434,561.9191522598267,626,18,43
2021-06-01 20:07:13.282211,564.4999272823334,626,18,43
2021-06-01 20:07:15.359174,566.5768904685974,627,18,43
2021-06-01 20:07:17.439949,568.6576645374298,627,18,43
2021-06-01 20:07:19.520851,570.7385692596436,627,18,43
2021-06-01 20:07:21.597738,572.8154561519623,627,18,43
2021-06-01 20:07:23.678723,574.8964414596558,627,18,43
2021-06-01 20:07:26.259475,577.4771912097931,627,18,43
2021-06-01 20:07:28.336165,579.5538835525513,627,18,43
2021-06-01 20:07:30.417096,581.6348145008087,627,18,43
2021-06-01 20:07:32.494022,583.7117390632629,627,18,43
2021-06-01 20:07:34.574905,585.792623758316,628,18,43
2021-06-01 20:07:36.655955,587.8736708164215,628,18,43
2021-06-01 20:07:38.732806,589.950522184372,628,18,43
2021-06-01 20:07:41.313500,592.5312080383301,627,18,43
2021-06-01 20:07:43.394566,594.6122810840607,628,18,43
2021-06-01 20:07:45.471430,596.6891453266144,627,18,43
2021-06-01 20:07:47.552326,598.7700381278992,627,18,43
2021-06-01 20:07:49.633132,600.8508491516113,627,18,43
2021-06-01 20:07:51.710040,602.9277567863464,627,18,43
2021-06-01 20:07:54.290557,605.5082755088806,628,18,43
2021-06-01 20:07:56.371734,607.5894484519958,628,18,43
2021-06-01 20:07:58.448438,609.6661555767059,627,18,43
2021-06-01 20:08:00.529317,611.7470352649689,628,18,43
2021-06-01 20:08:02.610251,613.8279695510864,627,18,43
2021-06-01 20:08:04.687294,615.9050099849701,628,18,43
2021-06-01 20:08:07.267821,618.4855399131775,628,18,43
2021-06-01 20:08:09.348875,620.5665903091431,627,18,43
2021-06-01 20:08:11.425591,622.6433091163635,628,18,43
2021-06-01 20:08:13.506699,624.724415063858,627,18,43
2021-06-01 20:08:15.583434,626.8011517524719,628,18,43
2021-06-01 20:08:17.664386,628.8821024894714,628,18,43
2021-06-01 20:08:20.244958,631.4626770019531,628,18,43
2021-06-01 20:08:22.325989,633.5437037944794,628,18,43
2021-06-01 20:08:24.402856,635.6205739974976,628,18,43
2021-06-01 20:08:26.483778,637.7014956474304,628,18,43
2021-06-01 20:08:28.560802,639.7785172462463,628,18,43
2021-06-01 20:08:30.641672,641.8593862056732,628,18,43
2021-06-01 20:08:32.718475,643.9361908435822,628,18,43
2021-06-01 20:08:35.299229,646.5169448852539,629,18,43
2021-06-01 20:08:37.380090,648.5978064537048,628,18,43
2021-06-01 20:08:39.461047,650.6787631511688,629,18,43
2021-06-01 20:08:41.537892,652.7556073665619,629,18,43
2021-06-01 20:08:43.618811,654.8365271091461,629,18,43
2021-06-01 20:08:45.695646,656.9133615493774,629,18,43
2021-06-01 20:08:48.276327,659.4940428733826,629,18,43
2021-06-01 20:08:50.357400,661.5751149654388,629,18,43
2021-06-01 20:08:52.434225,663.6519389152527,630,18,43
2021-06-01 20:08:54.515163,665.732878446579,630,18,43
2021-06-01 20:08:56.595869,667.8135876655579,630,18,43
2021-06-01 20:08:58.672830,669.8905448913574,630,18,43
2021-06-01 20:09:00.753823,671.9715385437012,630,18,43
2021-06-01 20:09:03.334408,674.5521235466003,630,18,43
2021-06-01 20:09:05.411485,676.629200220108,630,18,43
2021-06-01 20:09:07.492326,678.7100405693054,630,18,43
2021-06-01 20:09:09.569157,680.7868728637695,630,18,43
2021-06-01 20:09:11.649973,682.8676912784576,630,18,43
2021-06-01 20:09:13.731036,684.948751449585,630,18,43
2021-06-01 20:09:16.311746,687.5294609069824,630,18,43
2021-06-01 20:09:18.388527,689.6062443256378,630,18,43
2021-06-01 20:09:20.469550,691.6872656345367,630,18,43
2021-06-01 20:09:22.546458,693.7641608715057,631,18,43
2021-06-01 20:09:24.627183,695.844899892807,631,18,43
2021-06-01 20:09:26.708086,697.9258034229279,631,18,43
2021-06-01 20:09:29.284720,700.5024361610413,631,18,43
2021-06-01 20:09:31.365597,702.5833146572113,631,18,43
2021-06-01 20:09:33.446514,704.6642322540283,631,18,43
2021-06-01 20:09:35.523520,706.7412354946136,632,18,43
2021-06-01 20:09:37.604336,708.8220477104187,631,18,43
2021-06-01 20:09:39.681316,710.8990316390991,631,18,43
2021-06-01 20:09:41.762196,712.9799103736877,631,18,43
2021-06-01 20:09:44.342990,715.5607051849365,631,18,43
2021-06-01 20:09:46.419780,717.6374962329865,631,18,43
2021-06-01 20:09:48.500696,719.7184097766876,631,18,43
2021-06-01 20:09:50.581464,721.7991831302643,630,18,43
2021-06-01 20:09:52.658438,723.8761548995972,631,18,43
2021-06-01 20:09:54.739416,725.957132101059,631,18,43
2021-06-01 20:09:57.320000,728.5377171039581,631,18,43
2021-06-01 20:09:59.396820,730.6145391464233,631,18,43
2021-06-01 20:10:01.477795,732.695513010025,631,18,43
2021-06-01 20:10:03.554803,734.7725188732147,631,18,43
2021-06-01 20:10:05.635547,736.8532657623291,630,18,43
2021-06-01 20:10:07.716480,738.9341988563538,631,18,43
2021-06-01 20:10:10.297244,741.5149626731873,631,18,43
2021-06-01 20:10:12.374261,743.5919756889343,631,18,43
2021-06-01 20:10:14.454958,745.6726760864258,631,18,43
2021-06-01 20:10:16.531921,747.7496385574341,631,18,43
2021-06-01 20:10:18.612814,749.8305304050446,631,18,43
2021-06-01 20:10:20.689803,751.9075179100037,631,18,43
2021-06-01 20:10:23.270425,754.488142490387,631,18,43
2021-06-01 20:10:25.351385,756.5690982341766,631,18,43
2021-06-01 20:10:27.432128,758.6498463153839,631,18,43
2021-06-01 20:10:29.509202,760.7269186973572,631,18,43
2021-06-01 20:10:31.590051,762.8077683448792,631,18,43
2021-06-01 20:10:33.666820,764.8845386505127,631,18,43
2021-06-01 20:10:35.747691,766.965410232544,630,18,43
2021-06-01 20:10:38.332629,769.5503449440002,631,18,43
2021-06-01 20:10:40.413589,771.6313042640686,631,18,43
2021-06-01 20:10:42.490370,773.7080888748169,631,18,43
2021-06-01 20:10:44.571390,775.7891056537628,631,18,43
2021-06-01 20:10:46.652210,777.8699278831482,630,18,43
2021-06-01 20:10:48.729140,779.9468553066254,630,18,43
2021-06-01 20:10:51.309752,782.5274696350098,630,18,43
2021-06-01 20:10:53.390661,784.6083791255951,630,18,43
2021-06-01 20:10:55.467619,786.6853339672089,631,18,43
2021-06-01 20:10:57.548490,788.7662072181702,631,18,43
2021-06-01 20:10:59.625421,790.8431386947632,631,18,43
2021-06-01 20:11:01.706341,792.9240574836731,631,18,43
2021-06-01 20:11:04.287004,795.5047225952148,632,18,43
2021-06-01 20:11:06.363972,797.5816876888275,632,18,43
2021-06-01 20:11:08.444751,799.6624608039856,632,18,43
2021-06-01 20:11:10.525701,801.7434160709381,632,18,43
2021-06-01 20:11:12.602540,803.820258140564,633,18,43
2021-06-01 20:11:14.683588,805.9013028144836,633,18,43
2021-06-01 20:11:16.760391,807.9781084060669,633,18,43
2021-06-01 20:11:19.341149,810.5588653087616,633,18,43
2021-06-01 20:11:21.422124,812.6398396492004,633,18,43
2021-06-01 20:11:23.499016,814.7167313098907,633,18,43
2021-06-01 20:11:25.579923,816.7976384162903,633,18,43
2021-06-01 20:11:27.660748,818.8784635066986,633,18,43
2021-06-01 20:11:29.737670,820.9553854465485,633,18,43
2021-06-01 20:11:32.318354,823.5360686779022,633,18,43
2021-06-01 20:11:34.399153,825.6168699264526,634,18,43
2021-06-01 20:11:36.476119,827.6938354969025,634,18,43
2021-06-01 20:11:38.556915,829.7746312618256,634,18,43
2021-06-01 20:11:40.633910,831.8516254425049,634,18,43
2021-06-01 20:11:42.714739,833.9324553012848,634,18,43
2021-06-01 20:11:44.795790,836.0135061740875,634,18,43
2021-06-01 20:11:47.376387,838.5941016674042,634,18,43
2021-06-01 20:11:49.453350,840.6710665225983,634,18,43
2021-06-01 20:11:51.534333,842.7520482540131,634,18,43
2021-06-01 20:11:53.615129,844.8328421115875,634,18,43
2021-06-01 20:11:55.692086,846.9098012447357,634,18,43
